"0","Drug","Part","Cup care house speak often site audience eight agency life without knowledge believe","true"
"1","American","Involve","American amount policy kitchen effort blood white","false"
"2","Accept","Firm","Newspaper sister let quite really bit thus beautiful","false"
"3","Now cover","Quickly","Other sit quite mention do international traditional owner even everything discuss above","false"
"4","Many economic","Congress","Whole raise compare usually find before test adult growth within authority conference politics","true"
"5","Through","Cell","Short machine remember dark ball anything night open address red this","true"
"6","Record page","His","Own particularly throughout Congress that for much his","false"
"7","Behind","Grow","Present ever safe term three true never measure fast rich itself","true"
"8","Require trip","Case","Treat tax foreign oil identify customer wish","true"
"9","Them do","His","Sport ball continue behavior phone physical stage ahead card seven affect avoid","true"
"10","Heart","Throughout","Yard majority control rich fill send management past fine miss myself","true"
"11","Family","Street","Good thousand join onto shake offer black exactly concern article admit","true"
"12","Particularly","Contain","Think technology stay general never increase perform hundred side relate remember","false"
"13","Attention","Rate","Action fall class manager travel use change federal dinner look not finally","true"
"14","Budget rock","Prevent","Side today enjoy instead indeed as interesting event professional","true"
"15","Idea anything","Case","Professor according one role best ago heart money by","false"
"16","Home","Always","Play small control business page modern Mrs lose structure born down opportunity step","false"
"17","As new","And","Simply though goal identify deep again life player week window early side","true"
"18","Outside","His","Town than director top last central gas answer music return","true"
"19","Read particularly","Generation","These finish yes open toward natural out should","true"
"20","Speak","Street","Whole down add participant reveal seem site available magazine fill tell","false"
"21","In green","Think","Personal moment media knowledge and action while","true"
"22","Entire example","Central","Man system kitchen space notice government citizen away media set tend lose","true"
"23","Attorney green","Late","Then none prepare them rather baby well parent here","false"
"24","Save","Involve","Real point social guess open take over","false"
"25","New","Table","Coach possible us defense would prove college","true"
"26","Section husband","Across","Between heart often station blue month most ready bag discover","false"
"27","Part thus","Study","People suddenly kind chance these office explain realize animal back","true"
"28","Article blue","Central","Level against eight opportunity maybe future pay car character evidence","false"
"29","Big leave","Quickly","Serve technology more medical result hospital window","false"
"30","Save necessary","Base","Bed cost understand two difference down body return number","false"
"31","Official onto","Late","When require coach score by free available","true"
"32","Sit","His","Daughter man city beyond no board","false"
"33","Fear speech","Stage","But fish red budget three attack simple ready message several natural really change","false"
"34","Part cup","Training","Floor want wear fast learn hit","true"
"35","Arm","Cell","Though before happy than live him line decade most already room hour stay","false"
"36","Along woman","Less","Role collection her green expect black everyone in threat","false"
"37","Money","His","Fall lead charge reach set everybody check off everyone future late","false"
"38","Financial","Think","Across worry white listen apply hundred","true"
"39","Better","Money","Garden staff reach there mother science fine recognize try","true"
"40","Scene","Prevent","Government money relationship lead dog say","false"
"41","Capital","Across","Special lead he late other door person join lead husband","true"
"42","Former","Case","Positive child pressure information country kitchen tell while","false"
"43","President decade","Involve","Structure feeling campaign production more need member describe order","false"
"44","Open","Less","Social time red only push item newspaper forget hope","true"
"45","Race allow","Base","There piece poor despite poor change strong dream stand agency organization","false"
"46","Participant each","Rate","Before among send respond may note leader nature","false"
"47","Street","Street","Last attorney buy carry as player pass TV analysis response can","true"
"48","Author modern","Money","Able establish wish record two few three training her large","false"
"49","Pass","Contain","Drive pull lawyer produce draw happy wide town determine painting around","true"
"50","Somebody","Generation","Any real fight capital reduce society picture war side foreign rock generation","true"
"51","Office","Across","Raise early itself already act your beat instead","true"
"52","Within upon","Social","Dinner force he must degree make win certainly","false"
"53","Theory employee","Street","Action lawyer she enough back expect by treat activity back","true"
"54","Role","Prevent","Leader natural property suggest conference notice resource she wish head","true"
"55","Find politics","Street","Clear change manage or school enough expect our strong inside","false"
"57","Our","Cell","Democrat artist speak listen expect anything view both","true"
"58","Network","Cell","Side story price reveal give every letter total early threat mother","false"
"59","Commercial building","Social","Apply whole rate perhaps fight onto","true"
"60","At program","Consumer","Standard skin woman board so trade meet the song","true"
"61","Exactly former","Quickly","Recognize focus or gas recognize sense rise strategy little expect responsibility when difference","true"
"62","Style","His","Gas especially second huge north recent fight see value same foot list","true"
"63","Star","Cell","Guess trade necessary cost already up","false"
"64","List author","Stage","Win part little tough move so compare sign","false"
"65","Whatever","Base","Possible movement full read give because catch goal popular everyone game care recently","false"
"66","Training","Part","Pass minute name star civil eat behind quality court season","false"
"67","Sister","Contain","As down recognize conference natural month","true"
"68","Civil","Central","Stand as opportunity work process act small dinner politics environmental","true"
"69","Field","Part","Education who operation respond better toward think whose whether","true"
"70","Also sign","Table","Product strong discover trip material add southern discuss structure degree","true"
"71","Data","Late","Often vote then firm write far television report according red it as understand","true"
"72","And each","Central","Work at whole box like hold reduce boy indeed end country dinner","false"
"73","Establish but","Part","Bad who event method health add run situation know","false"
"74","Age","Grow","Argue heavy simple assume strategy fund seven yard quality idea","false"
"75","Different line","Think","Tough head visit off article indicate","true"
"76","Thousand suffer","Throughout","Court recent long on win end instead oil low nation force","true"
"77","Single west","Firm","Building without road participant vote body world huge end less prepare","true"
"78","Blue might","Stage","Coach bring nor American away north building front return","false"
"79","Ability","Late","Go able trouble TV all weight","true"
"80","Budget","Street","Five or wait home against resource","false"
"81","Trip","Part","Per heavy something offer space once natural strategy","false"
"82","Subject nor","Congress","Ago begin spring food name mean since matter","true"
"83","Choice realize","Social","Guy when none speech minute decision front","false"
"84","Account want","Generation","Article decade almost know article old great analysis","false"
"85","Measure","Consumer","Drop up great agreement push about sense day after control","true"
"86","Key","Table","Writer human upon community late should first writer right drug his","false"
"87","Stuff box","Social","Few space new possible technology leg four pull test energy defense song","false"
"88","Someone church","And","Medical rich former term couple answer let hit turn those big contain","true"
"89","Performance","Less","International nearly build happen sound according add deal test peace","false"
"90","Decade spring","And","Anyone concern everybody alone adult she table wall sometimes many","true"
"91","Try service","Central","Gun rule we law support major reason tough score range she","true"
"93","Baby","Training","Dream billion sometimes section name little home certain fear be base but contain","false"
"94","Evidence arm","Cell","Letter movement plant moment turn know record determine activity remain across that","true"
"95","Fly deal","Prevent","Author bar four west hold dream economic job","false"
"96","Possible","Grow","Class important condition defense church old best step spring their buy politics management","true"
"97","Sea","Contain","Which tonight song hot region real development order however quite thus","true"
"98","Senior responsibility","Stage","Worry myself any seven maintain determine","false"
"99","Because pick","Central","Long base start bad goal show apply produce next could","true"
"100","Same","Table","Write interesting pass offer cut ago card budget drug","true"
"101","Air","Street","Identify side more order possible none","true"
"102","Fish again","Study","Different form family organization nature according point girl","false"
"103","Choose environmental","Central","Example small top scientist particular stand open your","true"
"104","Share with","Training","Head seat less American today response past mother","true"
"105","South represent","Cell","Management board describe fill financial couple large already give thousand","true"
"106","Agree","Money","Your wear big reflect majority make safe real everyone worker field building walk","true"
"107","Rather","Late","Stand easy carry true girl former say machine size dog together member","true"
"108","Actually","Less","Strategy art though simply season course room hard financial throughout street actually tough","true"
"109","Support success","Prevent","War outside not possible appear finally","true"
"110","What present","Congress","Station here church thing difference time check truth he list score","true"
"111","Next author","Prevent","Again body it return order inside","true"
"112","Beautiful attorney","Throughout","Sure how health answer economy threat","true"
"113","About activity","Think","Air home just join oil watch","true"
"114","Fact","Cell","Family special matter entire break seek difference almost","false"
"115","Include","Always","Strategy executive ahead offer color mouth north commercial wall","false"
"116","Second","Across","Animal trouble instead degree within recently ground nor establish discuss community fill","true"
"117","Meet activity","Throughout","Capital camera town increase word piece company can","true"
"119","Know how","Stage","Form other degree trade office approach still history usually set small","true"
"120","Television them","Less","Hotel before woman along necessary describe","true"
"121","Remain wonder","Throughout","Machine establish the free physical become than common himself consumer","true"
"122","Month","Firm","Relationship since thank describe art good","true"
"123","Likely","Base","Democrat every like too might American economy","true"
"124","Eye live","Quickly","Hope themselves different performance wonder agency benefit happen difficult","true"
"125","Center baby","Social","Team American sing individual allow contain some road husband read see food material","false"
"126","Cover factor","Training","Agency arrive size dog research provide above team","true"
"129","Conference police","Cell","Last shoulder where exactly five political business","false"
"130","Environment tough","Contain","Art green manage member probably look challenge effect outside","true"
"131","Lay","Central","Own hit beautiful girl wall little structure event young","true"
"132","Get","Involve","Station set arrive south writer window result letter","false"
"133","Want recent","Training","Eat drive every law factor seat hospital central","false"
"134","Movie","Rate","Open appear group simply money guess move","true"
"135","Newspaper personal","Training","Mean either college whether rest enough learn long would bar town decide series","true"
"137","Four well","Base","Future plant establish happy report time according","false"
"138","Soon part","Congress","Peace head anything bad with across director toward figure","false"
"139","Forward","And","Pretty serious well operation range full good after window meeting benefit","true"
"140","Per","Case","Most use individual case thus example especially","true"
"141","He","Across","Citizen international cold run former authority stock fine final career","false"
"142","Against much","Cell","That land sell science long have carry identify medical themselves school explain","true"
"143","Concern form","Throughout","Memory she become brother black relationship identify board speak","false"
"144","Trade","Table","Guy follow society father everyone now hard occur score radio","false"
"145","Push policy","Firm","Shoulder family identify while better a free science third new weight their majority","false"
"146","Open expect","Cell","Admit course citizen standard staff former bar list run reduce","true"
"147","Compare offer","Stage","Drive choice religious wall suffer western suddenly","false"
"148","Difficult cost","Congress","Heavy product newspaper movement movement lay rest treatment third them who catch no","false"
"149","Large quality","Training","Artist business bed third our organization subject","true"
"150","Instead","Firm","Perhaps lay skin debate across my on all","false"
"151","Fine","Study","Kid nature wrong person wife watch half girl military political else indeed","false"
"152","At","Always","Story thus billion to past up upon raise wait ahead appear area thought","true"
"153","Decade argue","Generation","Daughter nearly federal sister of music","false"
"154","Others","Involve","Within picture anyone wish give form per poor interview city cut","true"
"155","Another perform","Generation","Would bed whole my task American spring","false"
"156","Though wonder","Study","Involve before purpose nearly wife character technology low guy simply know parent","false"
"157","Reality","Quickly","Race computer future claim and beautiful claim theory ahead cup service special small","false"
"158","Occur","Case","Bed gas voice structure like serious modern seem force condition material","false"
